prompt_id,layer,head,cv,kl,entropy,p_max
factual,0,0,0.665993,0.8759168,0.624627,0.771972
factual,0,1,0.513065,1.133054,1.002491,0.587328
factual,0,2,0.436212,0.3860331,0.113681,0.978677
factual,0,3,0.873124,1.4829515,0.729819,0.762359
factual,0,4,0.962814,1.3554387,0.698711,0.781736
factual,0,5,0.731216,1.7421464,0.820156,0.706332
factual,0,6,1.254066,2.226974,0.892724,0.754507
factual,0,7,0.767365,3.210757,1.381415,0.531532
factual,0,8,1.125091,2.4343033,0.939158,0.722772
factual,0,9,0.411757,0.2201169,0.130822,0.971705
factual,0,10,0.445016,0.338706,0.15439,0.962148
factual,0,11,0.340429,0.2419162,0.115679,0.971296
factual,0,12,0.886949,0.8077655,0.344718,0.906248
factual,0,13,1.306331,2.7767274,1.063608,0.720253
factual,0,14,1.264102,3.4107423,1.16244,0.681584
factual,0,15,0.4243,3.748754,1.585838,0.374522
factual,0,16,1.208887,1.1564859,0.511544,0.887902
factual,0,17,0.655315,3.8536935,1.482806,0.459342
factual,0,18,0.773227,2.7684095,1.188657,0.579604
factual,0,19,0.549614,2.5591028,1.315022,0.485747
factual,0,20,0.920531,2.938036,1.139693,0.635194
factual,0,21,0.276706,2.7577763,0.96495,0.65628
factual,0,22,9e-06,4e-07,1e-06,1.0
factual,0,23,0.002097,0.0001599,0.000195,0.999985
factual,1,0,1.099975,2.7659159,0.912633,0.725122
factual,1,1,1.08508,1.4780077,0.673669,0.81073
factual,1,2,1.275999,1.6548285,0.546433,0.877542
factual,1,3,0.706011,0.6343726,0.372005,0.876707
factual,1,4,0.841062,1.1187356,0.315039,0.929621
factual,1,5,0.676249,0.55655,0.294564,0.91186
factual,1,6,1.369618,2.6692092,0.959313,0.759736
factual,1,7,1.156168,0.9319583,0.349365,0.935306
factual,1,8,0.962238,2.0060816,0.829901,0.732003
factual,1,9,1.293937,1.4726665,0.443006,0.91289
factual,1,10,0.727273,0.5804524,0.226875,0.954823
factual,1,11,0.95661,0.7110329,0.273912,0.949473
factual,1,12,0.772384,0.9872345,0.466844,0.853003
factual,1,13,1.030819,1.3121428,0.584,0.845029
factual,1,14,0.806395,1.0873978,0.358845,0.913584
factual,1,15,0.496752,0.8396701,0.79586,0.644002
factual,1,16,0.976391,1.5159115,0.776704,0.765394
factual,1,17,0.689015,0.8283025,0.391191,0.871973
factual,1,18,0.804787,0.7209401,0.395083,0.893598
factual,1,19,0.75771,0.937034,0.425742,0.873384
factual,1,20,0.702175,0.6669374,0.302881,0.916034
factual,1,21,1.104091,3.8136754,1.249894,0.639585
factual,1,22,1.22103,1.2493749,0.614865,0.843359
factual,1,23,1.371378,1.8156961,0.747688,0.814264
factual,2,0,0.655734,0.4274626,0.165824,0.971383
factual,2,1,0.714605,0.7315759,0.209937,0.958035
factual,2,2,0.794012,0.8808913,0.249904,0.949624
factual,2,3,1.445212,2.1984079,0.628714,0.864457
factual,2,4,1.161712,0.9637154,0.376311,0.926968
factual,2,5,1.233642,1.8055723,0.606291,0.8544
factual,2,6,0.679045,0.613129,0.199983,0.96105
factual,2,7,0.918595,0.9218742,0.344853,0.92302
factual,2,8,1.043675,1.0413499,0.385575,0.914701
factual,2,9,0.819257,1.1308603,0.445013,0.866844
factual,2,10,0.812901,0.731343,0.267367,0.944844
factual,2,11,0.705034,0.9674751,0.308898,0.921944
factual,2,12,1.100349,1.1223702,0.481267,0.885946
factual,2,13,1.102416,1.3504647,0.536356,0.863843
factual,2,14,1.348419,1.5480647,0.537709,0.886127
factual,2,15,0.320542,0.2231723,0.143199,0.962635
factual,2,16,0.193311,0.2521126,0.182509,0.918457
factual,2,17,0.512264,0.5028497,0.252061,0.931125
factual,2,18,1.262469,1.9675252,0.669474,0.836402
factual,2,19,0.478725,0.2799107,0.355201,0.855101
factual,2,20,0.807992,0.6776986,0.387197,0.890559
factual,2,21,0.827775,0.8639535,0.372277,0.901716
factual,2,22,0.985318,1.1458106,0.361163,0.923385
factual,2,23,1.059188,1.7081573,0.610658,0.827
factual,3,0,1.250298,1.4119406,0.556009,0.874141
factual,3,1,1.051828,1.186524,0.379854,0.922579
factual,3,2,1.163585,2.0089805,0.64077,0.838125
factual,3,3,0.715321,0.593606,0.211864,0.959573
factual,3,4,0.939609,1.1761616,0.546658,0.834108
factual,3,5,1.020717,1.1965212,0.391523,0.914369
factual,3,6,1.16241,1.8802671,0.639639,0.828501
factual,3,7,1.021504,1.28326,0.409003,0.908277
factual,3,8,0.887454,1.9279058,0.680475,0.772759
factual,3,9,1.120728,1.1430067,0.407541,0.915882
factual,3,10,0.851058,0.6433221,0.261149,0.948733
factual,3,11,1.182012,1.7874354,0.731645,0.792756
factual,3,12,0.859503,1.2038579,0.502054,0.859668
