config_id,n_layers,layers_str,alpha,total_steps,top1_agree_count,top1_pct,mean_kl,mean_js,mean_prob_gap,confident_flips,moderate_flips,ambiguous_flips,kl_at_confident,kl_at_ambiguous
L0,1,18,0.0,85,85,100.0,0.0,0.0,0.519529,0,0,0,0.0,0.0
L1,2,"18,24",0.0,85,85,100.0,0.0,0.0,0.519529,0,0,0,0.0,0.0
L2,5,"15,18,21,24,27",0.0,85,85,100.0,0.0,0.0,0.519529,0,0,0,0.0,0.0
L3,10,"10,12,14,16,18,20,22,24,26,27",0.0,85,85,100.0,0.0,0.0,0.519529,0,0,0,0.0,0.0
L4,3,"18,19,20",0.0,85,85,100.0,0.0,0.0,0.519529,0,0,0,0.0,0.0
L5,6,"12,15,18,21,24,27",0.0,85,85,100.0,0.0,0.0,0.519529,0,0,0,0.0,0.0
L6,3,"18,21,24",0.0,85,85,100.0,0.0,0.0,0.519529,0,0,0,0.0,0.0
L7,4,"15,18,21,24",0.0,85,85,100.0,0.0,0.0,0.519529,0,0,0,0.0,0.0
L0,1,18,0.05,85,85,100.0,0.000421,0.000106,0.519529,0,0,0,0.000238,0.000787
L1,2,"18,24",0.05,85,85,100.0,0.000547,0.000137,0.519529,0,0,0,0.000227,0.000705
L2,5,"15,18,21,24,27",0.05,85,85,100.0,0.000557,0.000138,0.519529,0,0,0,0.000332,0.000955
L3,10,"10,12,14,16,18,20,22,24,26,27",0.05,85,84,98.8235,0.000739,0.000184,0.519529,0,0,1,0.000226,0.001616
L4,3,"18,19,20",0.05,85,84,98.8235,0.000456,0.000114,0.519529,0,0,1,0.000198,0.000898
L5,6,"12,15,18,21,24,27",0.05,85,84,98.8235,0.000771,0.000192,0.519529,0,0,1,0.0003,0.001589
L6,3,"18,21,24",0.05,85,85,100.0,0.000431,0.000108,0.519529,0,0,0,0.00027,0.000594
L7,4,"15,18,21,24",0.05,85,84,98.8235,0.000562,0.00014,0.519529,0,0,1,0.000247,0.001079
L0,1,18,0.1,85,84,98.8235,0.000474,0.000119,0.519529,0,0,1,0.000175,0.00092
L1,2,"18,24",0.1,85,85,100.0,0.000627,0.000156,0.519529,0,0,0,0.000318,0.001039
L2,5,"15,18,21,24,27",0.1,85,85,100.0,0.001193,0.000294,0.519529,0,0,0,0.0005,0.00225
L3,10,"10,12,14,16,18,20,22,24,26,27",0.1,85,84,98.8235,0.001554,0.000383,0.519529,0,0,1,0.000394,0.003457
L4,3,"18,19,20",0.1,85,84,98.8235,0.000756,0.000187,0.519529,0,0,1,0.000325,0.001706
L5,6,"12,15,18,21,24,27",0.1,85,84,98.8235,0.001422,0.000354,0.519529,0,0,1,0.000494,0.002928
L6,3,"18,21,24",0.1,85,85,100.0,0.000809,0.000201,0.519529,0,0,0,0.000457,0.001236
L7,4,"15,18,21,24",0.1,85,85,100.0,0.001126,0.000279,0.519529,0,0,0,0.000485,0.002097
L0,1,18,0.15,85,85,100.0,0.000597,0.000149,0.519529,0,0,0,0.000202,0.001318
L1,2,"18,24",0.15,85,85,100.0,0.001012,0.000249,0.519529,0,0,0,0.000399,0.001494
L2,5,"15,18,21,24,27",0.15,85,85,100.0,0.001875,0.000462,0.519529,0,0,0,0.000698,0.003634
L3,10,"10,12,14,16,18,20,22,24,26,27",0.15,85,84,98.8235,0.002891,0.000699,0.519529,0,0,1,0.000636,0.00654
L4,3,"18,19,20",0.15,85,84,98.8235,0.000963,0.000238,0.519529,0,0,1,0.000298,0.00261
L5,6,"12,15,18,21,24,27",0.15,85,84,98.8235,0.002416,0.000593,0.519529,0,0,1,0.00093,0.004684
L6,3,"18,21,24",0.15,85,85,100.0,0.001059,0.000262,0.519529,0,0,0,0.00033,0.002235
L7,4,"15,18,21,24",0.15,85,84,98.8235,0.001757,0.000431,0.519529,0,0,1,0.000674,0.003601
L0,1,18,0.2,85,85,100.0,0.00081,0.000202,0.519529,0,0,0,0.000283,0.001823
L1,2,"18,24",0.2,85,85,100.0,0.001274,0.000311,0.519529,0,0,0,0.000418,0.002143
L2,5,"15,18,21,24,27",0.2,85,84,98.8235,0.002818,0.000691,0.519529,0,0,1,0.000919,0.005862
L3,10,"10,12,14,16,18,20,22,24,26,27",0.2,85,83,97.6471,0.004704,0.001135,0.519529,0,0,2,0.001177,0.010718
L4,3,"18,19,20",0.2,85,84,98.8235,0.001504,0.000371,0.519529,0,0,1,0.000443,0.004248
