test,prompt_id,label_a,label_b,alpha_a,alpha_b,seed_a,seed_b,n_compared,n_agree,agree_pct,divergence_step,pre_div_n,post_div_n,loop_a,loop_b
test1_vanilla,M5_HC1,vanilla_s42,vanilla_s137,0.0,0.0,42,137,40,0,0.0,1,0,40,0,0
test1_vanilla,M5_HC1,vanilla_s42,vanilla_s271,0.0,0.0,42,271,40,2,5.0,2,1,39,0,0
test1_vanilla,M5_HC1,vanilla_s42,vanilla_s314,0.0,0.0,42,314,40,0,0.0,1,0,40,0,0
test1_vanilla,M5_HC1,vanilla_s42,vanilla_s1729,0.0,0.0,42,1729,40,2,5.0,1,0,40,0,0
test1_vanilla,M5_HC1,vanilla_s137,vanilla_s271,0.0,0.0,137,271,40,1,2.5,1,0,40,0,0
test1_vanilla,M5_HC1,vanilla_s137,vanilla_s314,0.0,0.0,137,314,40,2,5.0,3,2,38,0,0
test1_vanilla,M5_HC1,vanilla_s137,vanilla_s1729,0.0,0.0,137,1729,40,6,15.0,6,5,35,0,0
test1_vanilla,M5_HC1,vanilla_s271,vanilla_s314,0.0,0.0,271,314,40,2,5.0,1,0,40,0,0
test1_vanilla,M5_HC1,vanilla_s271,vanilla_s1729,0.0,0.0,271,1729,40,0,0.0,1,0,40,0,0
test1_vanilla,M5_HC1,vanilla_s314,vanilla_s1729,0.0,0.0,314,1729,40,3,7.5,3,2,38,0,0
test1_vanilla,FR_RS1,vanilla_s42,vanilla_s137,0.0,0.0,42,137,40,1,2.5,1,0,40,0,0
test1_vanilla,FR_RS1,vanilla_s42,vanilla_s271,0.0,0.0,42,271,40,0,0.0,1,0,40,0,0
test1_vanilla,FR_RS1,vanilla_s42,vanilla_s314,0.0,0.0,42,314,40,2,5.0,1,0,40,0,0
test1_vanilla,FR_RS1,vanilla_s42,vanilla_s1729,0.0,0.0,42,1729,40,1,2.5,1,0,40,0,0
test1_vanilla,FR_RS1,vanilla_s137,vanilla_s271,0.0,0.0,137,271,40,0,0.0,1,0,40,0,0
test1_vanilla,FR_RS1,vanilla_s137,vanilla_s314,0.0,0.0,137,314,40,1,2.5,1,0,40,0,0
test1_vanilla,FR_RS1,vanilla_s137,vanilla_s1729,0.0,0.0,137,1729,40,0,0.0,1,0,40,0,0
test1_vanilla,FR_RS1,vanilla_s271,vanilla_s314,0.0,0.0,271,314,40,0,0.0,1,0,40,0,0
test1_vanilla,FR_RS1,vanilla_s271,vanilla_s1729,0.0,0.0,271,1729,40,0,0.0,1,0,40,0,0
test1_vanilla,FR_RS1,vanilla_s314,vanilla_s1729,0.0,0.0,314,1729,40,2,5.0,3,2,38,0,0
test1_vanilla,FR_DI1,vanilla_s42,vanilla_s137,0.0,0.0,42,137,40,0,0.0,1,0,40,0,0
test1_vanilla,FR_DI1,vanilla_s42,vanilla_s271,0.0,0.0,42,271,40,0,0.0,1,0,40,0,0
test1_vanilla,FR_DI1,vanilla_s42,vanilla_s314,0.0,0.0,42,314,40,0,0.0,1,0,40,0,0
test1_vanilla,FR_DI1,vanilla_s42,vanilla_s1729,0.0,0.0,42,1729,6,0,0.0,1,0,6,0,0
test1_vanilla,FR_DI1,vanilla_s137,vanilla_s271,0.0,0.0,137,271,40,0,0.0,1,0,40,0,0
test1_vanilla,FR_DI1,vanilla_s137,vanilla_s314,0.0,0.0,137,314,40,0,0.0,1,0,40,0,0
test1_vanilla,FR_DI1,vanilla_s137,vanilla_s1729,0.0,0.0,137,1729,6,2,33.333333333333336,1,0,6,0,0
test1_vanilla,FR_DI1,vanilla_s271,vanilla_s314,0.0,0.0,271,314,40,0,0.0,1,0,40,0,0
test1_vanilla,FR_DI1,vanilla_s271,vanilla_s1729,0.0,0.0,271,1729,6,0,0.0,1,0,6,0,0
test1_vanilla,FR_DI1,vanilla_s314,vanilla_s1729,0.0,0.0,314,1729,6,0,0.0,1,0,6,0,0
test2_bridge,M5_HC1,bridge_a0.3_s42,bridge_a0.3_s137,0.3,0.3,42,137,40,0,0.0,1,0,40,0,0
test2_bridge,M5_HC1,bridge_a0.3_s42,bridge_a0.3_s271,0.3,0.3,42,271,40,1,2.5,1,0,40,0,0
test2_bridge,M5_HC1,bridge_a0.3_s42,bridge_a0.3_s314,0.3,0.3,42,314,40,0,0.0,1,0,40,0,0
test2_bridge,M5_HC1,bridge_a0.3_s42,bridge_a0.3_s1729,0.3,0.3,42,1729,40,1,2.5,1,0,40,0,0
test2_bridge,M5_HC1,bridge_a0.3_s137,bridge_a0.3_s271,0.3,0.3,137,271,40,0,0.0,1,0,40,0,0
test2_bridge,M5_HC1,bridge_a0.3_s137,bridge_a0.3_s314,0.3,0.3,137,314,40,2,5.0,3,2,38,0,0
test2_bridge,M5_HC1,bridge_a0.3_s137,bridge_a0.3_s1729,0.3,0.3,137,1729,40,6,15.0,6,5,35,0,0
test2_bridge,M5_HC1,bridge_a0.3_s271,bridge_a0.3_s314,0.3,0.3,271,314,40,2,5.0,1,0,40,0,0
test2_bridge,M5_HC1,bridge_a0.3_s271,bridge_a0.3_s1729,0.3,0.3,271,1729,40,0,0.0,1,0,40,0,0
test2_bridge,M5_HC1,bridge_a0.3_s314,bridge_a0.3_s1729,0.3,0.3,314,1729,40,2,5.0,3,2,38,0,0
test2_bridge,FR_RS1,bridge_a0.3_s42,bridge_a0.3_s137,0.3,0.3,42,137,40,0,0.0,1,0,40,0,0
test2_bridge,FR_RS1,bridge_a0.3_s42,bridge_a0.3_s271,0.3,0.3,42,271,40,0,0.0,1,0,40,0,0
test2_bridge,FR_RS1,bridge_a0.3_s42,bridge_a0.3_s314,0.3,0.3,42,314,40,6,15.0,1,0,40,0,0
test2_bridge,FR_RS1,bridge_a0.3_s42,bridge_a0.3_s1729,0.3,0.3,42,1729,40,2,5.0,1,0,40,0,0
test2_bridge,FR_RS1,bridge_a0.3_s137,bridge_a0.3_s271,0.3,0.3,137,271,40,1,2.5,1,0,40,0,0
test2_bridge,FR_RS1,bridge_a0.3_s137,bridge_a0.3_s314,0.3,0.3,137,314,40,3,7.5,1,0,40,0,0
test2_bridge,FR_RS1,bridge_a0.3_s137,bridge_a0.3_s1729,0.3,0.3,137,1729,40,0,0.0,1,0,40,0,0
test2_bridge,FR_RS1,bridge_a0.3_s271,bridge_a0.3_s314,0.3,0.3,271,314,40,1,2.5,1,0,40,0,0
test2_bridge,FR_RS1,bridge_a0.3_s271,bridge_a0.3_s1729,0.3,0.3,271,1729,40,0,0.0,1,0,40,0,0
test2_bridge,FR_RS1,bridge_a0.3_s314,bridge_a0.3_s1729,0.3,0.3,314,1729,40,4,10.0,4,3,37,0,0
test2_bridge,FR_DI1,bridge_a0.3_s42,bridge_a0.3_s137,0.3,0.3,42,137,40,0,0.0,1,0,40,0,0
test2_bridge,FR_DI1,bridge_a0.3_s42,bridge_a0.3_s271,0.3,0.3,42,271,40,2,5.0,3,2,38,0,0
test2_bridge,FR_DI1,bridge_a0.3_s42,bridge_a0.3_s314,0.3,0.3,42,314,13,0,0.0,1,0,13,0,0
test2_bridge,FR_DI1,bridge_a0.3_s42,bridge_a0.3_s1729,0.3,0.3,42,1729,40,1,2.5,1,0,40,0,0
test2_bridge,FR_DI1,bridge_a0.3_s137,bridge_a0.3_s271,0.3,0.3,137,271,40,4,10.0,1,0,40,0,0
test2_bridge,FR_DI1,bridge_a0.3_s137,bridge_a0.3_s314,0.3,0.3,137,314,13,0,0.0,1,0,13,0,0
test2_bridge,FR_DI1,bridge_a0.3_s137,bridge_a0.3_s1729,0.3,0.3,137,1729,40,0,0.0,1,0,40,0,0
test2_bridge,FR_DI1,bridge_a0.3_s271,bridge_a0.3_s314,0.3,0.3,271,314,13,0,0.0,1,0,13,0,0
test2_bridge,FR_DI1,bridge_a0.3_s271,bridge_a0.3_s1729,0.3,0.3,271,1729,40,1,2.5,1,0,40,0,0
test2_bridge,FR_DI1,bridge_a0.3_s314,bridge_a0.3_s1729,0.3,0.3,314,1729,13,0,0.0,1,0,13,0,0
test3_dose,M5_HC1,vanilla_s42,bridge_a0.05_s42,0.0,0.05,42,42,40,7,17.5,8,7,33,0,0
test3_dose,M5_HC1,vanilla_s42,bridge_a0.1_s42,0.0,0.1,42,42,40,0,0.0,1,0,40,0,0
test3_dose,M5_HC1,vanilla_s42,bridge_a0.2_s42,0.0,0.2,42,42,40,0,0.0,1,0,40,0,0
