config_id,n_layers,layers_str,alpha,k_value,seed,prompt_id,domain,step,vanilla_top1,bridge_top1,top1_agree,top5_agree,kl,js,prob_gap,alpha0_max_abs_diff
C1,1,18,0.3,10,42,M75_HC,FACTUAL,1,14924,14924,1,1,2.9802322387695312e-08,0.0,0.1792333722114563,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,2,220,220,1,1,0.000285592395812273,7.142094545997679e-05,0.011585808359086514,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,3,315,315,1,1,0.001300254836678505,0.00032715965062379837,0.3707805275917053,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,4,279,279,1,1,0.0005041749682277441,0.00012576414155773818,0.15976330637931824,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,5,11,11,1,1,0.0003172825672663748,8.019756933208555e-05,0.3041308522224426,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,6,12366,12366,1,1,0.003937933593988419,0.0009751440957188606,0.2579026222229004,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,7,13,13,1,1,0.0021067922934889793,0.0005263527855277061,0.13736793398857117,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,8,1102,1102,1,1,0.002040540799498558,0.0005116930697113276,0.10075320303440094,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,9,3363,3363,1,1,0.0052343495190143585,0.0012861862778663635,0.030662231147289276,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,10,315,315,1,1,0.0004461946664378047,0.0001096709311241284,0.8133343458175659,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,11,9822,9822,1,1,0.001703210175037384,0.0004227005410939455,0.05841211974620819,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,12,374,374,1,1,1.1785792594309896e-05,2.9411748982965946e-06,0.9565091729164124,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,13,20437,20437,1,1,0.001061862800270319,0.0002559275599196553,0.9050605297088623,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,14,13,13,1,1,3.4447351936250925e-05,8.696893928572536e-06,0.7172704935073853,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,15,578,578,1,1,0.0002814632607623935,7.00769123795908e-05,0.7410066723823547,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,16,6864,6864,1,1,2.2556225303560495e-05,5.5463824537582695e-06,0.9809726476669312,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,17,315,315,1,1,5.515812517842278e-06,1.4021270544617437e-06,0.9888872504234314,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,18,15704,15704,1,1,0.0017941128462553024,0.00043935037683695555,0.07322332262992859,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,19,374,374,1,1,9.736948413774371e-06,2.4603577912785113e-06,0.9859684705734253,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,20,27286,27286,1,1,5.7160985306836665e-05,1.4182285667629912e-05,0.9436232447624207,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,21,13,13,1,1,1.5872610674705356e-05,3.936834218620788e-06,0.7475361227989197,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,22,578,578,1,1,0.0003658605273813009,9.350715845357627e-05,0.6224920749664307,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,23,6864,6864,1,1,0.00010254443623125553,2.503093855921179e-05,0.9832731485366821,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,24,315,315,1,1,4.109399014851078e-06,1.0655703590600751e-06,0.9893071055412292,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,25,279,279,1,1,0.0013004625216126442,0.00032193143852055073,0.01828831434249878,0.0
C1,1,18,0.3,10,42,M75_HC,FACTUAL,26,374,374,1,1,4.3040141463279724e-05,1.0677060345187783e-05,0.9794945120811462,0.0
