prompt_id,step,vanilla_top1,prob_gap,n_seeds_total,n_seeds_agree,fraction_agree
L7_CR,1,574,0.0,12,9,0.75
L7_CR,2,264,0.13446231186389923,12,12,1.0
L7_CR,3,893,0.043070994317531586,12,12,1.0
L7_CR,4,315,0.26351839303970337,12,12,1.0
L7_CR,5,2478,0.2297455370426178,12,12,1.0
L7_CR,6,4339,0.9758664965629578,12,12,1.0
L7_CR,7,13,0.18312670290470123,12,12,1.0
L7_CR,8,1283,0.10510115325450897,12,12,1.0
L7_CR,9,574,0.0,12,7,0.5833333333333334
L7_CR,10,264,0.22839340567588806,12,12,1.0
L7_CR,11,893,0.2617340683937073,12,12,1.0
L7_CR,12,315,0.5333099365234375,12,12,1.0
L7_CR,13,2478,0.581263542175293,12,12,1.0
L7_CR,14,4339,0.9331571459770203,12,12,1.0
L7_CR,15,13,0.049525827169418335,12,12,1.0
L7_CR,16,1283,0.07836714386940002,12,12,1.0
L7_CR,17,574,0.312619149684906,12,12,1.0
L7_CR,18,264,0.779988706111908,12,12,1.0
L7_CR,19,893,0.8243997693061829,12,12,1.0
L7_CR,20,315,0.8953644633293152,12,12,1.0
L7_CR,21,2478,0.804042637348175,12,12,1.0
L7_CR,22,4339,0.956558108329773,12,12,1.0
L7_CR,23,13,0.20015937089920044,12,12,1.0
L7_CR,24,1283,0.3085859417915344,12,12,1.0
L7_CR,25,574,0.7167841196060181,12,12,1.0
L7_CR,26,264,0.9291417598724365,12,12,1.0
L7_CR,27,893,0.9671967625617981,12,12,1.0
L7_CR,28,315,0.9686269760131836,12,12,1.0
L7_CR,29,2478,0.9411640763282776,12,12,1.0
L7_CR,30,4339,0.9797809720039368,12,12,1.0
L7_CR,31,13,0.47059208154678345,12,12,1.0
L7_CR,32,1283,0.5176923274993896,12,12,1.0
L7_CR,33,574,0.8697799444198608,12,12,1.0
L7_CR,34,264,0.9669808745384216,12,12,1.0
L7_CR,35,893,0.9871737360954285,12,12,1.0
L7_CR,36,315,0.9823237061500549,12,12,1.0
L7_CR,37,2478,0.9725698828697205,12,12,1.0
L7_CR,38,4339,0.9887492656707764,12,12,1.0
L7_CR,39,13,0.5704384446144104,12,12,1.0
L7_CR,40,1283,0.7301157712936401,12,12,1.0
L7_HC,1,12366,0.257902592420578,12,12,1.0
L7_HC,2,13,0.13736793398857117,12,12,1.0
L7_HC,3,1102,0.10075321793556213,12,12,1.0
L7_HC,4,374,0.676308810710907,12,12,1.0
L7_HC,5,279,0.1558508425951004,12,12,1.0
L7_HC,6,7928,0.0837378203868866,12,12,1.0
L7_HC,7,3363,0.8406758904457092,12,12,1.0
L7_HC,8,304,0.6893069744110107,12,12,1.0
L7_HC,9,9822,0.1993815302848816,12,12,1.0
L7_HC,10,323,0.13059043884277344,12,12,1.0
L7_HC,11,279,0.33041685819625854,12,12,1.0
L7_HC,12,6864,0.08142068982124329,12,12,1.0
L7_HC,13,315,0.42322999238967896,12,12,1.0
L7_HC,14,279,0.3335399031639099,12,12,1.0
L7_HC,15,60208,0.21266716718673706,12,12,1.0
L7_HC,16,273,0.9975026249885559,12,12,1.0
L7_HC,17,6953,0.9508175849914551,12,12,1.0
L7_HC,18,7424,0.9920189380645752,12,12,1.0
L7_HC,19,35206,0.9992847442626953,12,12,1.0
L7_HC,20,5654,0.6912345290184021,12,12,1.0
L7_HC,21,13,0.5209990739822388,12,12,1.0
L7_HC,22,578,0.0,12,12,1.0
L7_HC,23,3363,0.36923688650131226,12,12,1.0
L7_HC,24,315,0.3768165707588196,12,12,1.0
L7_HC,25,12366,0.5393772721290588,12,12,1.0
L7_HC,26,11,0.7395942211151123,12,12,1.0
L7_HC,27,7559,0.42642462253570557,12,12,1.0
L7_HC,28,389,0.7416635155677795,12,12,1.0
L7_HC,29,279,0.9949932098388672,12,12,1.0
L7_HC,30,1369,0.11232131719589233,12,12,1.0
L7_HC,31,483,0.9995554089546204,12,12,1.0
L7_HC,32,11188,0.5116091370582581,12,12,1.0
L7_HC,33,11,0.9154921174049377,12,12,1.0
L7_HC,34,374,0.9152727127075195,12,12,1.0
L7_HC,35,2162,0.0889214426279068,12,11,0.9166666666666666
L7_HC,36,311,0.994933545589447,12,12,1.0
L7_HC,37,279,0.0,12,6,0.5
L7_HC,38,469,0.2534376382827759,12,12,1.0
L7_HC,39,3168,0.9916883111000061,12,12,1.0
L7_HC,40,301,0.999500036239624,12,12,1.0
L7_RS,1,510,0.06131880357861519,12,12,1.0
L7_RS,2,35187,0.4680476784706116,12,12,1.0
L7_RS,3,933,0.6996407508850098,12,12,1.0
L7_RS,4,40,0.1759258657693863,12,12,1.0
L7_RS,5,2846,0.04767582565546036,12,12,1.0
L7_RS,6,264,0.017415255308151245,12,11,0.9166666666666666
L7_RS,7,22999,0.07854938507080078,12,12,1.0
L7_RS,8,32639,0.6202363967895508,12,12,1.0
L7_RS,9,323,0.08494091033935547,12,12,1.0
L7_RS,10,358,0.5633276104927063,12,12,1.0
L7_RS,11,1390,0.0,12,10,0.8333333333333334
L7_RS,12,311,0.9676143527030945,12,12,1.0
L7_RS,13,1440,0.31377512216567993,12,12,1.0
L7_RS,14,3249,0.4998238682746887,12,12,1.0
L7_RS,15,264,0.40737926959991455,12,12,1.0
L7_RS,16,24653,0.8736603260040283,12,12,1.0
L7_RS,17,3585,0.7003362774848938,12,12,1.0
L7_RS,18,10411,0.47451913356781006,12,12,1.0
L7_RS,19,13,0.20807813107967377,12,12,1.0
L7_RS,20,358,0.23801688849925995,12,12,1.0
L7_RS,21,1440,0.10299526154994965,12,12,1.0
L7_RS,22,430,0.26127058267593384,12,12,1.0
L7_RS,23,433,0.1012631356716156,12,12,1.0
L7_RS,24,596,0.09969636797904968,12,12,1.0
L7_RS,25,1606,0.3357563614845276,12,12,1.0
L7_RS,26,315,0.34250736236572266,12,12,1.0
L7_RS,27,279,0.6734923124313354,12,12,1.0
L7_RS,28,24924,0.21253174543380737,12,12,1.0
L7_RS,29,2115,0.2650378942489624,12,12,1.0
L7_RS,30,315,0.13031208515167236,12,12,1.0
L7_RS,31,279,0.8157024383544922,12,12,1.0
L7_RS,32,9578,0.0584387481212616,12,12,1.0
L7_RS,33,11,0.09888271987438202,12,12,1.0
L7_RS,34,719,0.7469066381454468,12,12,1.0
L7_RS,35,358,0.4600324034690857,12,12,1.0
L7_RS,36,1390,0.08461183309555054,12,12,1.0
L7_RS,37,311,0.8445817232131958,12,12,1.0
L7_RS,38,1440,0.6957265734672546,12,12,1.0
L7_RS,39,3249,0.16284896433353424,12,12,1.0
L7_RS,40,433,0.028248637914657593,12,7,0.5833333333333334
L7_TC,1,76798,0.962249755859375,12,12,1.0
L7_TC,2,1471,0.9981498718261719,12,12,1.0
L7_TC,3,12,0.30224865674972534,12,12,1.0
L7_TC,4,16,0.915694534778595,12,12,1.0
L7_TC,5,8,0.9411354064941406,12,12,1.0
L7_TC,6,489,0.9993842840194702,12,12,1.0
L7_TC,7,76798,0.9967766404151917,12,12,1.0
L7_TC,8,1471,0.9976769089698792,12,12,1.0
L7_TC,9,12,0.982437789440155,12,12,1.0
L7_TC,10,17,0.9953153729438782,12,12,1.0
L7_TC,11,696,0.45085379481315613,12,12,1.0
L7_TC,12,755,0.07439565658569336,12,12,1.0
L7_TC,13,76798,0.11338737607002258,12,12,1.0
L7_TC,14,17,0.030308164656162262,12,12,1.0
L7_TC,15,1471,0.9474587440490723,12,12,1.0
L7_TC,16,997,0.8921272158622742,12,12,1.0
L7_TC,17,262,0.9834859371185303,12,12,1.0
L7_TC,18,422,0.18947753310203552,12,12,1.0
L7_TC,19,308,0.9753655195236206,12,12,1.0
L7_TC,20,2717,0.7048605680465698,12,12,1.0
L7_TC,21,220,0.970007598400116,12,12,1.0
L7_TC,22,16,0.8512088656425476,12,12,1.0
L7_TC,23,512,0.9883782267570496,12,12,1.0
L7_TC,24,286,0.9976465702056885,12,12,1.0
L7_TC,25,471,0.994745135307312,12,12,1.0
L7_TC,26,308,0.7747998833656311,12,12,1.0
L7_TC,27,198,0.9200753569602966,12,12,1.0
L7_TC,28,262,0.9989609718322754,12,12,1.0
L7_TC,29,264,0.04527537524700165,12,12,1.0
L7_TC,30,11,0.5191472768783569,12,12,1.0
L7_TC,31,293,0.9988245964050293,12,12,1.0
L7_TC,32,284,0.9594421982765198,12,12,1.0
L7_TC,33,220,0.9878894686698914,12,12,1.0
L7_TC,34,15,0.5537381172180176,12,12,1.0
